zipcode,1,2,3,4,5,6,Total_Returns,Bracket_1_Percentage,Bracket_2_Percentage,Bracket_3_Percentage,Bracket_4_Percentage,Bracket_5_Percentage,Bracket_6_Percentage,average
10016,4970.0,4780.0,5220.0,3880.0,7210.0,6370.0,32430.0,0.1532531606537157,0.14739438791242676,0.16096207215541167,0.11964230650632131,0.2223250077089115,0.19642306506321308,3.6996608078939257
10017,1850.0,1450.0,1530.0,1290.0,2840.0,3320.0,12280.0,0.15065146579804561,0.11807817589576547,0.1245928338762215,0.10504885993485343,0.23127035830618892,0.2703583061889251,3.9592833876221496
10018,1460.0,1060.0,800.0,640.0,1220.0,1290.0,6470.0,0.22565687789799072,0.16383307573415765,0.12364760432766615,0.09891808346213292,0.18856259659969088,0.19938176197836166,3.4590417310664607
10019,5010.0,3680.0,3380.0,2570.0,5270.0,4940.0,24850.0,0.20160965794768612,0.14808853118712273,0.13601609657947686,0.103420523138833,0.21207243460764588,0.19879275653923542,3.572635814889336
10021,3660.0,2840.0,3190.0,2520.0,4970.0,7000.0,24180.0,0.1513647642679901,0.11745244003308519,0.13192721257237386,0.10421836228287841,0.2055417700578991,0.2894954507857734,3.9636062861869314
10022,2880.0,2120.0,2440.0,2100.0,4630.0,6060.0,20230.0,0.14236282748393475,0.10479485912011864,0.12061295106277806,0.10380622837370242,0.22886801779535343,0.2995551161641127,4.070687098368759
10023,5970.0,3840.0,3800.0,3320.0,7350.0,9820.0,34100.0,0.1750733137829912,0.1126099706744868,0.11143695014662756,0.09736070381231672,0.2155425219941349,0.2879765395894428,3.929618768328446
10024,6030.0,3750.0,3610.0,2840.0,6280.0,8590.0,31100.0,0.19389067524115755,0.12057877813504823,0.11607717041800643,0.09131832797427653,0.20192926045016077,0.27620578778135046,3.815434083601286
10025,12960.0,8230.0,6330.0,4180.0,7580.0,7460.0,46740.0,0.2772785622593068,0.17608044501497647,0.13543003851091143,0.08943089430894309,0.1621737270004279,0.15960633290543433,3.1619597774925117
10026,7380.0,4240.0,2520.0,1440.0,1840.0,980.0,18400.0,0.40108695652173915,0.23043478260869565,0.13695652173913042,0.0782608695652174,0.1,0.05326086956521739,2.4054347826086957
10027,11980.0,6610.0,3490.0,1770.0,2380.0,1280.0,27510.0,0.43547800799709196,0.24027626317702652,0.12686295892402763,0.064340239912759,0.08651399491094147,0.046528535078153396,2.2657215557978914
10028,4160.0,3160.0,3790.0,2930.0,5400.0,6430.0,25870.0,0.16080402010050251,0.12214920757634326,0.14650173946656359,0.11325860069578662,0.20873598763046,0.24855044453034403,3.8326246617703905
10029,17180.0,9220.0,4610.0,1820.0,1770.0,850.0,35450.0,0.4846262341325811,0.2600846262341326,0.1300423131170663,0.051339915373765865,0.04992947813822285,0.023977433004231313,1.993794076163611
10030,6800.0,3670.0,1770.0,730.0,660.0,180.0,13810.0,0.49239681390296886,0.2657494569152788,0.12816799420709632,0.05286024619840695,0.04779145546705286,0.013034033309196235,1.9370021723388848
10031,14490.0,7980.0,3800.0,1640.0,1430.0,390.0,29730.0,0.4873864783047427,0.2684157416750757,0.12781701984527413,0.055163134880592,0.0480995627312479,0.013118062563067608,1.9475277497477297
10032,15190.0,7980.0,3620.0,1470.0,1400.0,310.0,29970.0,0.5068401735068402,0.26626626626626626,0.12078745412078745,0.04904904904904905,0.04671338004671338,0.010343677010343676,1.8935602268935603
10033,13370.0,6500.0,3240.0,1530.0,1910.0,620.0,27170.0,0.4920868605079131,0.23923444976076555,0.11924917188075083,0.05631210894368789,0.07029812292970188,0.022819285977180713,2.0419580419580416
10034,9900.0,4750.0,2760.0,1350.0,1470.0,290.0,20520.0,0.4824561403508772,0.23148148148148148,0.13450292397660818,0.06578947368421052,0.07163742690058479,0.014132553606237816,2.0550682261208575
10035,7560.0,3750.0,1850.0,930.0,990.0,300.0,15380.0,0.49154746423927176,0.24382314694408322,0.12028608582574772,0.06046814044213264,0.06436931079323797,0.01950585175552666,2.0208062418725614
10036,4460.0,3170.0,2510.0,2020.0,3710.0,2780.0,18650.0,0.239142091152815,0.16997319034852548,0.13458445040214478,0.10831099195710456,0.19892761394101877,0.14906166219839143,3.3050938337801608
10037,4120.0,2750.0,1910.0,1010.0,910.0,130.0,10830.0,0.3804247460757156,0.25392428439519854,0.17636195752539244,0.09325946445060018,0.0840258541089566,0.012003693444136657,2.2825484764542936
10038,3490.0,1950.0,1660.0,1120.0,2210.0,1780.0,12210.0,0.2858312858312858,0.1597051597051597,0.13595413595413594,0.09172809172809172,0.180999180999181,0.1457821457821458,3.15970515970516
10039,6670.0,3570.0,1750.0,750.0,680.0,160.0,13580.0,0.49116347569955815,0.26288659793814434,0.12886597938144329,0.05522827687776141,0.050073637702503684,0.011782032400589101,1.9455081001472754
10040,10370.0,5310.0,2840.0,1360.0,1370.0,360.0,21610.0,0.47987043035631655,0.24571957427117075,0.13142063859324388,0.06293382693197594,0.06339657565941693,0.016658954187875982,2.034243405830634
10044,1180.0,750.0,620.0,450.0,850.0,460.0,4310.0,0.2737819025522042,0.1740139211136891,0.14385150812064965,0.10440835266821345,0.19721577726218098,0.10672853828306264,3.0974477958236664
10065,2310.0,2110.0,2150.0,1680.0,3220.0,4460.0,15930.0,0.14500941619585686,0.13245448838669177,0.1349654739485248,0.10546139359698682,0.20213433772755807,0.27997489014438165,3.927181418706842
10075,2200.0,1710.0,2030.0,1650.0,3070.0,3770.0,14430.0,0.15246015246015246,0.11850311850311851,0.14067914067914067,0.11434511434511435,0.21275121275121275,0.26126126126126126,3.9002079002079
10128,5910.0,4750.0,5000.0,3690.0,6410.0,7740.0,33500.0,0.1764179104477612,0.1417910447761194,0.14925373134328357,0.11014925373134328,0.19134328358208955,0.231044776119403,3.6913432835820896
10280,520.0,400.0,430.0,450.0,1210.0,1340.0,4350.0,0.11954022988505747,0.09195402298850575,0.09885057471264368,0.10344827586206896,0.27816091954022987,0.3080459770114943,4.252873563218391
10301,6630.0,3830.0,2600.0,1690.0,2480.0,850.0,18080.0,0.36670353982300885,0.21183628318584072,0.14380530973451328,0.09347345132743363,0.13716814159292035,0.04701327433628318,2.5636061946902657
10302,3410.0,1750.0,1120.0,660.0,990.0,140.0,8070.0,0.4225526641883519,0.21685254027261464,0.13878562577447337,0.08178438661710037,0.12267657992565056,0.01734820322180917,2.3172242874845104
10303,5400.0,2850.0,1630.0,1010.0,1210.0,100.0,12200.0,0.4426229508196721,0.2336065573770492,0.13360655737704918,0.08278688524590164,0.09918032786885246,0.00819672131147541,2.1868852459016392
10304,8300.0,4130.0,2420.0,1470.0,2290.0,890.0,19500.0,0.4256410256410256,0.2117948717948718,0.12410256410256411,0.07538461538461538,0.11743589743589744,0.045641025641025644,2.384102564102564
10305,6770.0,4020.0,2820.0,2030.0,3010.0,590.0,19240.0,0.3518711018711019,0.20893970893970895,0.14656964656964658,0.10550935550935552,0.15644490644490644,0.030665280665280667,2.597713097713098
10306,8330.0,5050.0,3840.0,2950.0,5240.0,1300.0,26710.0,0.311868214152003,0.18906776488206664,0.14376637963309621,0.11044552602021715,0.19618120554099588,0.04867090977162111,2.836016473231
10307,1880.0,1020.0,860.0,640.0,1490.0,550.0,6440.0,0.2919254658385093,0.15838509316770186,0.13354037267080746,0.09937888198757763,0.23136645962732919,0.08540372670807453,3.0760869565217392
10308,3820.0,2340.0,1950.0,1660.0,3080.0,720.0,13570.0,0.2815033161385409,0.17243920412675018,0.14369933677229182,0.12232866617538689,0.22697126013264554,0.05305821665438467,3.0
10309,4100.0,2550.0,2050.0,1630.0,3480.0,1090.0,14900.0,0.2751677852348993,0.17114093959731544,0.13758389261744966,0.10939597315436242,0.23355704697986576,0.07315436241610739,3.074496644295302
10310,4420.0,2350.0,1400.0,1030.0,1830.0,430.0,11460.0,0.3856893542757417,0.20506108202443282,0.12216404886561955,0.08987783595113438,0.15968586387434555,0.037521815008726006,2.5453752181500873
10312,8070.0,5020.0,4060.0,3460.0,6890.0,1750.0,29250.0,0.27589743589743587,0.17162393162393164,0.13880341880341882,0.11829059829059829,0.23555555555555555,0.05982905982905983,3.0454700854700856
10314,12450.0,7950.0,5790.0,4650.0,7880.0,1810.0,40530.0,0.30717986676535897,0.19615099925980756,0.14285714285714285,0.11472982975573649,0.19442388354305454,0.04465827781889958,2.827041697508019
10451,12670.0,6360.0,2560.0,1000.0,700.0,60.0,23350.0,0.5426124197002141,0.27237687366167024,0.10963597430406852,0.042826552462526764,0.029978586723768737,0.002569593147751606,1.7528907922912205
10452,22230.0,9340.0,3330.0,960.0,500.0,30.0,36390.0,0.6108821104699094,0.25666391865897226,0.09150865622423743,0.026380873866446827,0.013740038472107722,0.0008244023083264633,1.5779060181368512
10453,23970.0,9430.0,3030.0,880.0,560.0,0.0,37870.0,0.6329548455241616,0.24900977026670187,0.08001056245048851,0.023237391074729337,0.014787430683918669,0.0,1.5378927911275417
10454,10000.0,4070.0,1260.0,330.0,230.0,20.0,15910.0,0.6285355122564424,0.2558139534883721,0.07919547454431175,0.020741671904462602,0.014456316781898177,0.001257071024512885,1.5405405405405403
10455,10630.0,4830.0,1660.0,510.0,270.0,0.0,17900.0,0.593854748603352,0.2698324022346369,0.09273743016759776,0.028491620111731845,0.015083798882681564,0.0,1.6011173184357541
10456,25320.0,10540.0,3190.0,950.0,520.0,20.0,40540.0,0.6245683275777011,0.259990133201776,0.07868771583621115,0.02343364578194376,0.012826837691169216,0.000493339911198816,1.5414405525407004
10457,20850.0,8230.0,2670.0,800.0,460.0,30.0,33040.0,0.6310532687651331,0.24909200968523001,0.08081113801452784,0.024213075060532687,0.013922518159806295,0.0009079903147699758,1.5435835351089586
10458,20400.0,8850.0,3360.0,1130.0,760.0,40.0,34540.0,0.5906195715112913,0.25622466705269253,0.09727851766068327,0.03271569195136074,0.022003474232773594,0.0011580775911986102,1.6427330631152286
10459,12480.0,5840.0,1890.0,650.0,350.0,20.0,21230.0,0.587847385774847,0.27508243052284503,0.08902496467263307,0.030617051342439944,0.016486104569006125,0.0009420631182289214,1.6156382477626006
